"dim.task_type","success","overall","acc"
"action. multi-choice","201.0","338.0","59.47"
"direction. multi-choice","93.0","335.0","27.76"
"speed. multi-choice","117.0","317.0","36.91"
"order. multi-choice","114.0","302.0","37.75"
"attribute_change. multi-choice","106.0","288.0","36.81"
"action. caption_matching","172.0","297.0","57.91"
"direction. caption_matching","113.0","327.0","34.56"
"speed. caption_matching","90.0","291.0","30.93"
"order. caption_matching","72.0","300.0","24.0"
"attribute_change. caption_matching","149.0","288.0","51.74"
"action. captioning","125.0","396.0","31.57"
"direction. captioning","158.0","436.0","36.24"
"speed. captioning","122.0","388.0","31.44"
"order. captioning","151.0","400.0","37.75"
"attribute_change. captioning","124.0","384.0","32.29"
"action. yes_no","320.0","592.0","54.05"
"direction. yes_no","251.0","494.0","50.81"
"speed. yes_no","290.0","537.0","54.0"
"order. yes_no","204.0","382.0","53.4"
"attribute_change. yes_no","232.0","448.0","51.79"
"action","818.0","1623.0","50.4"
"multi-choice","631.0","1580.0","39.94"
"overall","3204.0","7540.0","42.49"
"direction","615.0","1592.0","38.63"
"speed","619.0","1533.0","40.38"
"order","541.0","1384.0","39.09"
"attribute_change","611.0","1408.0","43.39"
"caption_matching","596.0","1503.0","39.65"
"captioning","680.0","2004.0","33.93"
"yes_no","1297.0","2453.0","52.87"
