"dim.task_type","success","overall","acc"
"action. multi-choice","328.0","338.0","97.04"
"direction. multi-choice","165.0","335.0","49.25"
"speed. multi-choice","173.0","317.0","54.57"
"order. multi-choice","225.0","302.0","74.5"
"attribute_change. multi-choice","215.0","288.0","74.65"
"action. caption_matching","290.0","297.0","97.64"
"direction. caption_matching","212.0","327.0","64.83"
"speed. caption_matching","184.0","291.0","63.23"
"order. caption_matching","266.0","300.0","88.67"
"attribute_change. caption_matching","220.0","288.0","76.39"
"action. captioning","365.0","396.0","92.17"
"direction. captioning","205.0","436.0","47.02"
"speed. captioning","173.0","388.0","44.59"
"order. captioning","235.0","400.0","58.75"
"attribute_change. captioning","262.0","384.0","68.23"
"action. yes_no","528.0","592.0","89.19"
"direction. yes_no","298.0","494.0","60.32"
"speed. yes_no","331.0","537.0","61.64"
"order. yes_no","276.0","382.0","72.25"
"attribute_change. yes_no","327.0","448.0","72.99"
"action","1511.0","1623.0","93.1"
"multi-choice","1106.0","1580.0","70.0"
"overall","5278.0","7540.0","70.0"
"direction","880.0","1592.0","55.28"
"speed","861.0","1533.0","56.16"
"order","1002.0","1384.0","72.4"
"attribute_change","1024.0","1408.0","72.73"
"caption_matching","1172.0","1503.0","77.98"
"captioning","1240.0","2004.0","61.88"
"yes_no","1760.0","2453.0","71.75"
