"dim.task_type","success","overall","acc"
"action. multi-choice","117.0","338.0","34.62"
"direction. multi-choice","39.0","335.0","11.64"
"speed. multi-choice","58.0","317.0","18.3"
"order. multi-choice","46.0","302.0","15.23"
"attribute_change. multi-choice","59.0","288.0","20.49"
"action. caption_matching","102.0","297.0","34.34"
"direction. caption_matching","69.0","327.0","21.1"
"speed. caption_matching","59.0","291.0","20.27"
"order. caption_matching","67.0","300.0","22.33"
"attribute_change. caption_matching","68.0","288.0","23.61"
"action. captioning","134.0","396.0","33.84"
"direction. captioning","157.0","436.0","36.01"
"speed. captioning","118.0","388.0","30.41"
"order. captioning","143.0","400.0","35.75"
"attribute_change. captioning","133.0","384.0","34.64"
"action. yes_no","300.0","592.0","50.68"
"direction. yes_no","238.0","494.0","48.18"
"speed. yes_no","206.0","537.0","38.36"
"order. yes_no","196.0","382.0","51.31"
"attribute_change. yes_no","219.0","448.0","48.88"
"action","653.0","1623.0","40.23"
"multi-choice","319.0","1580.0","20.19"
"overall","2528.0","7540.0","33.53"
"direction","503.0","1592.0","31.6"
"speed","441.0","1533.0","28.77"
"order","452.0","1384.0","32.66"
"attribute_change","479.0","1408.0","34.02"
"caption_matching","365.0","1503.0","24.28"
"captioning","685.0","2004.0","34.18"
"yes_no","1159.0","2453.0","47.25"
