"dim.task_type","success","overall","acc"
"action. multi-choice","328.0","338.0","97.04"
"direction. multi-choice","167.0","335.0","49.85"
"speed. multi-choice","170.0","317.0","53.63"
"order. multi-choice","226.0","302.0","74.83"
"attribute_change. multi-choice","213.0","288.0","73.96"
"action. caption_matching","291.0","297.0","97.98"
"direction. caption_matching","224.0","327.0","68.5"
"speed. caption_matching","196.0","291.0","67.35"
"order. caption_matching","271.0","300.0","90.33"
"attribute_change. caption_matching","227.0","288.0","78.82"
"action. captioning","366.0","396.0","92.42"
"direction. captioning","218.0","436.0","50.0"
"speed. captioning","161.0","388.0","41.49"
"order. captioning","220.0","400.0","55.0"
"attribute_change. captioning","249.0","384.0","64.84"
"action. yes_no","528.0","592.0","89.19"
"direction. yes_no","288.0","494.0","58.3"
"speed. yes_no","330.0","537.0","61.45"
"order. yes_no","270.0","382.0","70.68"
"attribute_change. yes_no","322.0","448.0","71.88"
"action","1513.0","1623.0","93.22"
"multi-choice","1104.0","1580.0","69.87"
"overall","5265.0","7540.0","69.83"
"direction","897.0","1592.0","56.34"
"speed","857.0","1533.0","55.9"
"order","987.0","1384.0","71.32"
"attribute_change","1011.0","1408.0","71.8"
"caption_matching","1209.0","1503.0","80.44"
"captioning","1214.0","2004.0","60.58"
"yes_no","1738.0","2453.0","70.85"
