"dim.task_type","success","overall","acc"
"action. multi-choice","331.0","338.0","97.93"
"direction. multi-choice","176.0","335.0","52.54"
"speed. multi-choice","177.0","317.0","55.84"
"order. multi-choice","220.0","302.0","72.85"
"attribute_change. multi-choice","206.0","288.0","71.53"
"action. caption_matching","293.0","297.0","98.65"
"direction. caption_matching","225.0","327.0","68.81"
"speed. caption_matching","191.0","291.0","65.64"
"order. caption_matching","268.0","300.0","89.33"
"attribute_change. caption_matching","230.0","288.0","79.86"
"action. captioning","372.0","396.0","93.94"
"direction. captioning","203.0","436.0","46.56"
"speed. captioning","167.0","388.0","43.04"
"order. captioning","245.0","400.0","61.25"
"attribute_change. captioning","244.0","384.0","63.54"
"action. yes_no","539.0","592.0","91.05"
"direction. yes_no","301.0","494.0","60.93"
"speed. yes_no","325.0","537.0","60.52"
"order. yes_no","288.0","382.0","75.39"
"attribute_change. yes_no","332.0","448.0","74.11"
"action","1535.0","1623.0","94.58"
"multi-choice","1110.0","1580.0","70.25"
"overall","5333.0","7540.0","70.73"
"direction","905.0","1592.0","56.85"
"speed","860.0","1533.0","56.1"
"order","1021.0","1384.0","73.77"
"attribute_change","1012.0","1408.0","71.88"
"caption_matching","1207.0","1503.0","80.31"
"captioning","1231.0","2004.0","61.43"
"yes_no","1785.0","2453.0","72.77"
