"dim.task_type","success","overall","acc"
"action. multi-choice","328.0","338.0","97.04"
"direction. multi-choice","171.0","335.0","51.04"
"speed. multi-choice","175.0","317.0","55.21"
"order. multi-choice","224.0","302.0","74.17"
"attribute_change. multi-choice","212.0","288.0","73.61"
"action. caption_matching","290.0","297.0","97.64"
"direction. caption_matching","223.0","327.0","68.2"
"speed. caption_matching","196.0","291.0","67.35"
"order. caption_matching","270.0","300.0","90.0"
"attribute_change. caption_matching","229.0","288.0","79.51"
"action. captioning","363.0","396.0","91.67"
"direction. captioning","211.0","436.0","48.39"
"speed. captioning","172.0","388.0","44.33"
"order. captioning","220.0","400.0","55.0"
"attribute_change. captioning","256.0","384.0","66.67"
"action. yes_no","527.0","592.0","89.02"
"direction. yes_no","294.0","494.0","59.51"
"speed. yes_no","336.0","537.0","62.57"
"order. yes_no","269.0","382.0","70.42"
"attribute_change. yes_no","320.0","448.0","71.43"
"action","1508.0","1623.0","92.91"
"multi-choice","1110.0","1580.0","70.25"
"overall","5286.0","7540.0","70.11"
"direction","899.0","1592.0","56.47"
"speed","879.0","1533.0","57.34"
"order","983.0","1384.0","71.03"
"attribute_change","1017.0","1408.0","72.23"
"caption_matching","1208.0","1503.0","80.37"
"captioning","1222.0","2004.0","60.98"
"yes_no","1746.0","2453.0","71.18"
