"dim.task_type","success","overall","acc"
"action. multi-choice","0.0","338.0","0.0"
"direction. multi-choice","0.0","335.0","0.0"
"speed. multi-choice","0.0","317.0","0.0"
"order. multi-choice","0.0","302.0","0.0"
"attribute_change. multi-choice","0.0","288.0","0.0"
"action. caption_matching","0.0","297.0","0.0"
"direction. caption_matching","0.0","327.0","0.0"
"speed. caption_matching","0.0","291.0","0.0"
"order. caption_matching","0.0","300.0","0.0"
"attribute_change. caption_matching","0.0","288.0","0.0"
"action. captioning","26.0","396.0","6.57"
"direction. captioning","10.0","436.0","2.29"
"speed. captioning","1.0","388.0","0.26"
"order. captioning","40.0","400.0","10.0"
"attribute_change. captioning","27.0","384.0","7.03"
"action. yes_no","0.0","592.0","0.0"
"direction. yes_no","0.0","494.0","0.0"
"speed. yes_no","0.0","537.0","0.0"
"order. yes_no","0.0","382.0","0.0"
"attribute_change. yes_no","0.0","448.0","0.0"
"action","26.0","1623.0","1.6"
"multi-choice","0.0","1580.0","0.0"
"overall","104.0","7540.0","1.38"
"direction","10.0","1592.0","0.63"
"speed","1.0","1533.0","0.07"
"order","40.0","1384.0","2.89"
"attribute_change","27.0","1408.0","1.92"
"caption_matching","0.0","1503.0","0.0"
"captioning","104.0","2004.0","5.19"
"yes_no","0.0","2453.0","0.0"
