"dim.task_type","success","overall","acc"
"action. multi-choice","305.0","338.0","90.24"
"direction. multi-choice","129.0","335.0","38.51"
"speed. multi-choice","154.0","317.0","48.58"
"order. multi-choice","140.0","302.0","46.36"
"attribute_change. multi-choice","175.0","288.0","60.76"
"action. caption_matching","280.0","297.0","94.28"
"direction. caption_matching","197.0","327.0","60.24"
"speed. caption_matching","178.0","291.0","61.17"
"order. caption_matching","191.0","300.0","63.67"
"attribute_change. caption_matching","205.0","288.0","71.18"
"action. captioning","308.0","396.0","77.78"
"direction. captioning","147.0","436.0","33.72"
"speed. captioning","108.0","388.0","27.84"
"order. captioning","95.0","400.0","23.75"
"attribute_change. captioning","243.0","384.0","63.28"
"action. yes_no","387.0","592.0","65.37"
"direction. yes_no","251.0","494.0","50.81"
"speed. yes_no","284.0","537.0","52.89"
"order. yes_no","206.0","382.0","53.93"
"attribute_change. yes_no","270.0","448.0","60.27"
"action","1280.0","1623.0","78.87"
"multi-choice","903.0","1580.0","57.15"
"overall","4253.0","7540.0","56.41"
"direction","724.0","1592.0","45.48"
"speed","724.0","1533.0","47.23"
"order","632.0","1384.0","45.66"
"attribute_change","893.0","1408.0","63.42"
"caption_matching","1051.0","1503.0","69.93"
"captioning","901.0","2004.0","44.96"
"yes_no","1398.0","2453.0","56.99"
