"dim.task_type","success","overall","acc"
"action. multi-choice","319.0","338.0","94.38"
"direction. multi-choice","132.0","335.0","39.4"
"speed. multi-choice","139.0","317.0","43.85"
"order. multi-choice","166.0","302.0","54.97"
"attribute_change. multi-choice","165.0","288.0","57.29"
"action. caption_matching","276.0","297.0","92.93"
"direction. caption_matching","197.0","327.0","60.24"
"speed. caption_matching","174.0","291.0","59.79"
"order. caption_matching","201.0","300.0","67.0"
"attribute_change. caption_matching","187.0","288.0","64.93"
"action. captioning","364.0","396.0","91.92"
"direction. captioning","190.0","436.0","43.58"
"speed. captioning","172.0","388.0","44.33"
"order. captioning","195.0","400.0","48.75"
"attribute_change. captioning","244.0","384.0","63.54"
"action. yes_no","481.0","592.0","81.25"
"direction. yes_no","272.0","494.0","55.06"
"speed. yes_no","318.0","537.0","59.22"
"order. yes_no","219.0","382.0","57.33"
"attribute_change. yes_no","294.0","448.0","65.62"
"action","1440.0","1623.0","88.72"
"multi-choice","921.0","1580.0","58.29"
"overall","4705.0","7540.0","62.4"
"direction","791.0","1592.0","49.69"
"speed","803.0","1533.0","52.38"
"order","781.0","1384.0","56.43"
"attribute_change","890.0","1408.0","63.21"
"caption_matching","1035.0","1503.0","68.86"
"captioning","1165.0","2004.0","58.13"
"yes_no","1584.0","2453.0","64.57"
