"dim.task_type","success","overall","acc"
"action. multi-choice","327.0","338.0","96.75"
"direction. multi-choice","169.0","335.0","50.45"
"speed. multi-choice","169.0","317.0","53.31"
"order. multi-choice","225.0","302.0","74.5"
"attribute_change. multi-choice","210.0","288.0","72.92"
"action. caption_matching","291.0","297.0","97.98"
"direction. caption_matching","219.0","327.0","66.97"
"speed. caption_matching","188.0","291.0","64.6"
"order. caption_matching","269.0","300.0","89.67"
"attribute_change. caption_matching","224.0","288.0","77.78"
"action. captioning","363.0","396.0","91.67"
"direction. captioning","201.0","436.0","46.1"
"speed. captioning","173.0","388.0","44.59"
"order. captioning","226.0","400.0","56.5"
"attribute_change. captioning","255.0","384.0","66.41"
"action. yes_no","531.0","592.0","89.7"
"direction. yes_no","292.0","494.0","59.11"
"speed. yes_no","333.0","537.0","62.01"
"order. yes_no","275.0","382.0","71.99"
"attribute_change. yes_no","325.0","448.0","72.54"
"action","1512.0","1623.0","93.16"
"multi-choice","1100.0","1580.0","69.62"
"overall","5265.0","7540.0","69.83"
"direction","881.0","1592.0","55.34"
"speed","863.0","1533.0","56.29"
"order","995.0","1384.0","71.89"
"attribute_change","1014.0","1408.0","72.02"
"caption_matching","1191.0","1503.0","79.24"
"captioning","1218.0","2004.0","60.78"
"yes_no","1756.0","2453.0","71.59"
