"dim.task_type","success","overall","acc"
"action. multi-choice","203.0","338.0","60.06"
"direction. multi-choice","102.0","335.0","30.45"
"speed. multi-choice","132.0","317.0","41.64"
"order. multi-choice","119.0","302.0","39.4"
"attribute_change. multi-choice","107.0","288.0","37.15"
"action. caption_matching","179.0","297.0","60.27"
"direction. caption_matching","133.0","327.0","40.67"
"speed. caption_matching","110.0","291.0","37.8"
"order. caption_matching","88.0","300.0","29.33"
"attribute_change. caption_matching","166.0","288.0","57.64"
"action. captioning","125.0","396.0","31.57"
"direction. captioning","154.0","436.0","35.32"
"speed. captioning","120.0","388.0","30.93"
"order. captioning","147.0","400.0","36.75"
"attribute_change. captioning","127.0","384.0","33.07"
"action. yes_no","307.0","592.0","51.86"
"direction. yes_no","249.0","494.0","50.4"
"speed. yes_no","286.0","537.0","53.26"
"order. yes_no","201.0","382.0","52.62"
"attribute_change. yes_no","233.0","448.0","52.01"
"action","814.0","1623.0","50.15"
"multi-choice","663.0","1580.0","41.96"
"overall","3288.0","7540.0","43.61"
"direction","638.0","1592.0","40.08"
"speed","648.0","1533.0","42.27"
"order","555.0","1384.0","40.1"
"attribute_change","633.0","1408.0","44.96"
"caption_matching","676.0","1503.0","44.98"
"captioning","673.0","2004.0","33.58"
"yes_no","1276.0","2453.0","52.02"
