"dim.task_type","success","overall","acc"
"action. multi-choice","328.0","338.0","97.04"
"direction. multi-choice","169.0","335.0","50.45"
"speed. multi-choice","173.0","317.0","54.57"
"order. multi-choice","225.0","302.0","74.5"
"attribute_change. multi-choice","212.0","288.0","73.61"
"action. caption_matching","290.0","297.0","97.64"
"direction. caption_matching","220.0","327.0","67.28"
"speed. caption_matching","188.0","291.0","64.6"
"order. caption_matching","269.0","300.0","89.67"
"attribute_change. caption_matching","224.0","288.0","77.78"
"action. captioning","363.0","396.0","91.67"
"direction. captioning","201.0","436.0","46.1"
"speed. captioning","163.0","388.0","42.01"
"order. captioning","220.0","400.0","55.0"
"attribute_change. captioning","256.0","384.0","66.67"
"action. yes_no","528.0","592.0","89.19"
"direction. yes_no","293.0","494.0","59.31"
"speed. yes_no","331.0","537.0","61.64"
"order. yes_no","272.0","382.0","71.2"
"attribute_change. yes_no","326.0","448.0","72.77"
"action","1509.0","1623.0","92.98"
"multi-choice","1107.0","1580.0","70.06"
"overall","5251.0","7540.0","69.64"
"direction","883.0","1592.0","55.46"
"speed","855.0","1533.0","55.77"
"order","986.0","1384.0","71.24"
"attribute_change","1018.0","1408.0","72.3"
"caption_matching","1191.0","1503.0","79.24"
"captioning","1203.0","2004.0","60.03"
"yes_no","1750.0","2453.0","71.34"
